clusterId,primaryTerm,terms,track,score,avgMonthlySearches,topOfPageBid,serpWeakness,hasData,peopleAlsoAsk
c28,bloomreach pricing,bloomreach pricing|bloomreach pricing model|bloomreach cms pricing|bloomreach engagement pricing|bloomreach search pricing|how much does bloomreach cost,vendor,0.5755519089580252,100,335.45,0.6900000000000001,true,
c185,semantic search vs rag,semantic search vs rag,practitioner,0.5750244459608289,50,86.78,0.7849999999999999,true,
c74,elasticsearch best practices,elasticsearch best practices,vendor,0.5608960531036862,50,0,0.74,true,
c155,query vs view,query vs view,practitioner,0.5523246245322575,50,0,0.7799999999999999,true,
c11,algolia vs solr,algolia vs solr,vendor,0.5501817673894005,50,1637.99,0.615,true,
c77,opensearch best practices,opensearch best practices|opensearch best practices aws|amazon opensearch best practices,vendor,0.5480389102465433,50,0,0.73,true,
c99,meilisearch vs,meilisearch vs elasticsearch|meilisearch vs,vendor,0.5406345875294536,100,183.51,0.6849999999999999,true,
c114,nosto pricing,nosto battery price|nosto pricing|nosto reviews|nosto reviews complaints,vendor,0.5348911946723108,100,461.45,0.64,true,
c38,bloomreach best practices,bloomreach best practices,vendor,0.5328571428571431,0,0,0.7900000000000001,true,
c91,typesense pricing,typesense pricing|typesense cloud pricing|typesense search pricing|typesense self hosted pricing|how much does typesense cost,vendor,0.5259166411008823,100,139.3,0.68,true,
c27,bloomreach competitors,bloomreach competitors|bloomreach alternatives,vendor,0.5212264625294536,100,924.05,0.58,true,
c116,nosto vs otto,nosto vs otto,vendor,0.5200000000000001,0,0,0.78,true,
c21,coveo vs,coveo vs elasticsearch|coveo vs elastic|coveo vs,vendor,0.5094674816751147,50,0,0.7,true,
c88,opensearch best,opensearch best,vendor,0.5071428571428573,0,0,0.7700000000000001,true,
c109,lucidworks competitors,lucidworks competitors|lucidworks alternatives,vendor,0.5018014102465433,50,233.4,0.66,true,
c4,algolia reviews,algolia reviews,vendor,0.4942989995322577,50,330.53,0.64,true,
c29,bloomreach reviews,bloomreach reviews|bloomreach technologies reviews,vendor,0.48375319596082916,50,0,0.68,true,
c53,opensearch vs elk,elasticsearch vs opensearch|opensearch vs elasticsearch|opensearch vs elk|meilisearch vs elasticsearch vs opensearch,vendor,0.4810657170535354,1050,86.75,0.61,true,
c24,coveo vs lucidworks,coveo vs lucidworks|lucidworks vs coveo,vendor,0.47408360538659655,100,0,0.66,true,
c110,lucidworks vs elasticsearch,lucidworks vs elasticsearch|lucidworks fusion vs elasticsearch,vendor,0.47408360538659655,100,0,0.66,true,
c9,algolia vs constructor,algolia vs constructor,vendor,0.46874355310368615,50,468.52,0.6,true,
c93,typesense best practices,typesense best practices,vendor,0.46857142857142864,0,0,0.74,true,
c15,coveo competitors,coveo competitors|coveo alternatives,vendor,0.4679756589580251,100,241.71,0.62,true,
c92,typesense alternatives,typesense alternatives,vendor,0.46446748167511487,50,0,0.665,true,
c55,elasticsearch keyword vs text,elasticsearch keyword vs text,vendor,0.4644674816751147,50,0,0.6649999999999999,true,
c22,coveo vs solr,coveo vs solr,vendor,0.4580389102465434,50,0,0.66,true,
c49,searchspring reviews,searchspring reviews,vendor,0.4580389102465434,50,0,0.66,true,
c31,bloomreach vs braze,bloomreach vs braze,vendor,0.45803891024654325,50,0,0.6599999999999999,true,
c58,elasticsearch vs kibana,elasticsearch vs kibana,vendor,0.45677783881797196,50,27.56,0.655,true,
c54,elasticsearch alternatives,elasticsearch alternatives|elasticsearch open source alternative|elasticsearch alternatives open source|elasticsearch alternatives rust|elasticsearch alternatives free|elasticsearch alternatives for logs|elasticsearch alternatives for search|elasticsearch alternatives in gcp|elasticsearch alternatives in aws|best elasticsearch alternatives,vendor,0.4541495397158687,750,122.43,0.59,true,
c39,constructor io competitors,constructor io competitors,vendor,0.45121980310368615,50,375.06,0.6,true,
c75,opensearch cost,opensearch pricing|opensearch aws pricing|opensearch cost|opensearch pricing aws|opensearch serverless pricing|opensearch pricing calculator|opensearch pricing calculator aws|opensearch pricing page|opensearch pricing serverless|opensearch pricing model|opensearch pricing instance|amazon opensearch pricing,vendor,0.4493875025196274,1300,96.79,0.58,true,
c43,klevu pricing,klevu pricing,vendor,0.4455077495322577,50,70.31,0.64,true,
c82,opensearch vs splunk,opensearch vs splunk,vendor,0.4451817673894005,50,0,0.65,true,
c85,opensearch vs qdrant,opensearch vs qdrant,vendor,0.4387531959608291,50,0,0.645,true,
c105,meilisearch vs opensearch,meilisearch vs opensearch,vendor,0.4387531959608291,50,0,0.645,true,
c47,searchspring pricing,searchspring pricing,vendor,0.4323246245322577,50,0,0.64,true,
c113,lucidworks reviews,lucidworks reviews,vendor,0.4323246245322577,50,0,0.64,true,
c124,luigi's mansion 3 vs 1,luigi's mansion 3 vs 1,vendor,0.4323246245322575,50,0,0.6399999999999999,true,
c80,opensearch vs grafana,opensearch vs grafana,vendor,0.42771266024654336,50,78.26,0.625,true,
c107,meilisearch vs searxng,meilisearch vs searxng,vendor,0.42357142857142843,0,0,0.7049999999999998,true,
c161,vector search vs semantic search,vector search vs semantic search|semantic search vs vector search|semantic search vs similarity search,practitioner,0.41973446705353534,1050,79.65,0.61,true,
c78,opensearch keyword vs text,opensearch keyword vs text,vendor,0.4194674816751148,50,0,0.63,true,
c6,algolia vs typesense,algolia vs typesense|typesense vs algolia|typesense vs algolia pricing,vendor,0.41924114003585344,150,0,0.61,true,
c25,coveo vs bloomreach,coveo vs bloomreach,vendor,0.41714285714285726,0,0,0.7000000000000001,true,
c20,coveo vs cohere,coveo vs cohere,vendor,0.4171428571428571,0,0,0.7,true,
c102,meilisearch best practices,meilisearch best practices,vendor,0.4171428571428571,0,0,0.7,true,
c103,meilisearch vs qdrant,meilisearch vs qdrant,vendor,0.4130389102465434,50,0,0.625,true,
c10,algolia vs meilisearch,algolia vs meilisearch|meilisearch vs algolia,vendor,0.4097978911008822,100,0,0.61,true,
c136,jira product discovery vs jira,jira product discovery vs jira|jira product discovery vs jira software|jira product discovery vs advanced roadmaps,buyer,0.4081530150358535,150,207.53,0.54,true,
c76,opensearch alternatives,opensearch alternatives|opensearch alternatives open source|opensearch alternatives aws|amazon opensearch alternatives,vendor,0.4074246768151679,100,90.2,0.595,true,
c111,lucidworks pricing,lucidworks pricing,vendor,0.4066103388179721,50,0,0.6200000000000001,true,
c32,bloomreach vs salesforce,bloomreach vs salesforce|bloomreach vs salesforce marketing cloud,vendor,0.40661033881797193,50,0,0.62,true,
c41,constructor io pricing,constructor io pricing,vendor,0.40661033881797193,50,0,0.62,true,
c48,searchspring competitors,searchspring alternatives|searchspring competitors,vendor,0.40661033881797193,50,0,0.62,true,
c52,similarsitesearch alternatives,similarsitesearch alternatives,vendor,0.40661033881797193,50,0,0.62,true,
c120,luigi's box pricing,luigi's box pricing,vendor,0.40661033881797193,50,0,0.62,true,
c101,meilisearch alternatives,meilisearch alternatives|meilisearch alternatives open source|meilisearch free alternatives,vendor,0.4065500709608292,50,68.25,0.6100000000000001,true,
c106,meilisearch vs solr,meilisearch vs solr,vendor,0.3937531959608292,50,0,0.6100000000000001,true,
c200,faceted search best practices,faceted search best practices,practitioner,0.3916103388179719,50,0,0.655,true,
c83,opensearch vs pgvector,opensearch vs pgvector,vendor,0.38732462453225763,50,0,0.605,true,
c95,typesense vs opensearch,typesense vs opensearch,vendor,0.38732462453225763,50,0,0.605,true,
c60,elasticsearch vs splunk,elasticsearch vs splunk,vendor,0.3872492052798514,500,159.18,0.54,true,
c131,product discovery cost,product discovery jira pricing|product discovery pricing|product discovery pricing jira|product discovery cost|atlassian product discovery pricing|jira product discovery pricing plans|atlassian jira product discovery pricing|jira product discovery premium pricing|jira product discovery standard pricing,buyer,0.38528507635189135,250,159.07,0.52,true,
c168,vector search vs keyword search,vector search vs keyword search,practitioner,0.38518176738940046,50,0,0.65,true,
c170,vector search vs full text search,vector search vs full text search,practitioner,0.38518176738940035,50,0,0.6499999999999999,true,
c187,semantic search vs elasticsearch,semantic search vs elasticsearch,practitioner,0.38518176738940035,50,0,0.6499999999999999,true,
c132,product discovery vs delivery,product discovery vs delivery,buyer,0.3823246245322577,50,0,0.5700000000000001,true,
c145,find best conversion rate leetcode,find best conversion rate leetcode,buyer,0.3823246245322577,50,0,0.5700000000000001,true,
c18,coveo reviews,coveo reviews,vendor,0.3808960531036862,50,0,0.6,true,
c45,klevu vs algolia,klevu vs algolia,vendor,0.3808960531036862,50,0,0.6,true,
c81,opensearch vs kibana,opensearch vs kibana,vendor,0.3808960531036862,50,0,0.6,true,
c100,meilisearch cost,meilisearch pricing|meilisearch cloud pricing|meilisearch cost,vendor,0.38066971146442485,150,0,0.58,true,
c167,vector search vs rag,vector search vs rag,practitioner,0.3787531959608291,50,0,0.645,true,
c137,jira product discovery vs productboard,jira product discovery vs productboard,buyer,0.37595203524654336,50,308.87,0.52,true,
c186,semantic search vs hybrid search,semantic search vs hybrid search,practitioner,0.37232462453225745,50,0,0.6399999999999999,true,
c188,semantic search vs fuzzy search,semantic search vs fuzzy search,practitioner,0.37232462453225745,50,0,0.6399999999999999,true,
c143,best product discovery engines for personalized shopping,best product discovery engines for personalized shopping,buyer,0.3694674816751147,50,0,0.5599999999999999,true,
c96,typesense vs solr,typesense vs solr,vendor,0.36803891024654345,50,0,0.5900000000000001,true,
c34,bloomreach vs constructor,bloomreach vs constructor,vendor,0.36571428571428577,0,0,0.66,true,
c123,luigi's box reviews,luigi's box reviews,vendor,0.36571428571428566,0,0,0.6599999999999999,true,
c104,meilisearch vs quickwit,meilisearch vs quickwit,vendor,0.3592857142857144,0,0,0.655,true,
c46,klevu alternatives,klevu alternatives,vendor,0.3551817673894006,50,0,0.5800000000000001,true,
c19,coveo vs glean,coveo vs glean,vendor,0.35518176738940044,50,0,0.58,true,
c84,opensearch vs clickhouse,opensearch vs clickhouse,vendor,0.35411623167511486,50,131.46,0.56,true,
c191,best semantic search model,best semantic search model|best semantic search embedding model|best embeddings for semantic search,practitioner,0.3497978911008822,100,0,0.61,true,
c199,filters vs facets,faceted search vs filtering|filters vs facets,practitioner,0.3497978911008822,100,0,0.61,true,
c139,jira product discovery alternatives,jira product discovery alternatives,buyer,0.3437531959608291,50,0,0.54,true,
c65,elasticsearch vs loki,elasticsearch vs loki,vendor,0.3423246245322577,50,0,0.5700000000000001,true,
c79,opensearch vs solr,opensearch vs solr,vendor,0.3423246245322577,50,0,0.5700000000000001,true,
c125,luigi's mansion 3 switch review,luigi's mansion 3 switch review,vendor,0.3423246245322576,50,0,0.57,true,
c174,vector search vs elasticsearch,vector search vs elasticsearch,practitioner,0.3401817673894004,50,0,0.615,true,
c23,coveo vs yext,coveo vs yext,vendor,0.3400000000000001,0,0,0.64,true,
c26,coveo vs constructor,coveo vs constructor,vendor,0.3400000000000001,0,0,0.64,true,
c129,which website is best for ecommerce,which website is best for ecommerce,buyer,0.3346546245322576,50,225.76,0.5,true,
c127,best ecommerce search,ecommerce search best practices|best ecommerce search examples|best ecommerce search engines|best ecommerce search|ecommerce site search best practices|best ai powered ecommerce search solutions,buyer,0.334010727223436,300,0,0.5,true,
c175,best vector search,vector search alternatives|best vector search database|best vector search|best vector search engine|best vector search db|best vector similarity search|best model for vector search|best open source vector search,practitioner,0.3335268543215677,150,0,0.59,true,
c94,typesense review,typesense review,vendor,0.32946748167511486,50,0,0.56,true,
c119,nosto alternatives,nosto alternatives,vendor,0.32946748167511486,50,0,0.56,true,
c3,algolia employee reviews,algolia employee reviews,vendor,0.3294674816751147,50,0,0.5599999999999999,true,
c44,klevu reviews,klevu reviews,vendor,0.3294674816751147,50,0,0.5599999999999999,true,
c169,vector search vs bm25,vector search vs bm25,practitioner,0.32732462453225764,50,0,0.605,true,
c138,jira product discovery vs aha,jira product discovery vs aha,buyer,0.32636712453225764,50,181.56,0.5,true,
c190,best semantic search,semantic search alternatives|best semantic search|best semantic search algorithm|best semantic search engine|best semantic search tools|best semantic search database,practitioner,0.31446748167511474,50,0,0.595,true,
c51,nosto vs searchspring,nosto vs searchspring,vendor,0.3142857142857145,0,0,0.6200000000000001,true,
c36,bloomreach vs adobe,bloomreach vs adobe,vendor,0.31428571428571433,0,0,0.62,true,
c42,constructor io reviews,constructor io reviews,vendor,0.31428571428571433,0,0,0.62,true,
c35,bloomreach vs optimizely,bloomreach vs optimizely,vendor,0.31428571428571417,0,0,0.6199999999999999,true,
c57,elasticsearch vs mongodb,elasticsearch vs mongodb,vendor,0.31342899953225756,50,85.89,0.5349999999999999,true,
c126,luigi's mansion 3 price,luigi's mansion 3 price|luigi's mansion 3 best price,vendor,0.30852313556740973,550,1.68,0.5,true,
c98,typesense vs postgres,typesense vs postgres,vendor,0.3078571428571429,0,0,0.615,true,
c179,semantic search cost,azure vector search pricing|semantic search pricing|semantic search cost|azure semantic search pricing|azure ai search semantic search pricing,practitioner,0.3078125686072821,150,0,0.5700000000000001,true,
c70,best elasticsearch gui,best elasticsearch gui|best elasticsearch client,vendor,0.3069407482437394,100,0,0.53,true,
c97,typesense vs qdrant,typesense vs qdrant,vendor,0.3014285714285716,0,0,0.6100000000000001,true,
c182,semantic search vs,semantic search vs keyword search|semantic search vs,practitioner,0.2996367069959812,550,0,0.54,true,
c59,elasticsearch vs postgres,elasticsearch vs postgres,vendor,0.29732462453225755,50,0,0.5349999999999999,true,
c64,elasticsearch vs redis,elasticsearch vs redis,vendor,0.29732462453225755,50,0,0.5349999999999999,true,
c69,best elasticsearch book,best elasticsearch book,vendor,0.29732462453225755,50,0,0.5349999999999999,true,
c177,vector magic free alternative,vector magic free alternative,practitioner,0.29685801738940043,50,8.94,0.58,true,
c133,product discovery vs design thinking,product discovery vs design thinking,buyer,0.2923246245322576,50,0,0.5,true,
c147,convert vs conversion,convert vs conversion,buyer,0.2923246245322576,50,0,0.5,true,
c149,merchandising vs visual merchandising,merchandising vs visual merchandising,buyer,0.2923246245322576,50,0,0.5,true,
c150,merchandising vs buying,merchandising vs buying,buyer,0.2923246245322576,50,0,0.5,true,
c151,merchandising vs sales,merchandising vs sales,buyer,0.2923246245322576,50,0,0.5,true,
c164,vector search cost,vector search cost|vector search cost databricks|vector search databricks pricing|vector search endpoint databricks cost|vector search gcp pricing|vector search pricing|vector search pricing databricks|vector search pricing gcp|google vector search pricing|vector search 2.0 pricing|vertex vector search pricing,practitioner,0.2921749548976357,400,0,0.54,true,
c50,algolia vs searchspring,algolia vs searchspring,vendor,0.2885714285714286,0,0,0.6,true,
c117,vs nosto,vs nosto,vendor,0.2885714285714286,0,0,0.6,true,
c162,vector search best method for chatbot,vector search best method for chatbot,practitioner,0.28642857142857137,0,0,0.6449999999999999,true,
c171,vector search vs hybrid search,vector search vs hybrid search,practitioner,0.2823246245322577,50,0,0.5700000000000001,true,
c189,semantic search vs bm25,semantic search vs bm25,practitioner,0.2823246245322577,50,0,0.5700000000000001,true,
c30,bloomreach vs klaviyo,bloomreach vs klaviyo,vendor,0.27803891024654337,50,0,0.52,true,
c63,elasticsearch vs clickhouse,elasticsearch vs clickhouse,vendor,0.27521649953225763,50,122.09,0.5,true,
c40,constructor io employee reviews,constructor io employee reviews,vendor,0.26285714285714284,0,0,0.58,true,
c66,elasticsearch alternatives in azure,elasticsearch alternatives in azure,vendor,0.2564285714285714,0,0,0.575,true,
c163,vector search best practices,vector search best practices,practitioner,0.24785714285714286,0,0,0.615,true,
c156,best search engine ranking,ranking best search engines|best search engine ranking,practitioner,0.2459743838512799,500,0,0.5,true,
c141,best product discovery books,best product discovery books,buyer,0.2449999999999999,0,0,0.5349999999999999,true,
c165,vector search knn vs ann,vector search knn vs ann,practitioner,0.24142857142857158,0,0,0.6100000000000001,true,
c176,vector canoe alternatives,vector canoe alternatives,practitioner,0.24142857142857144,0,0,0.61,true,
c157,rank vs ranking,rank vs ranking,practitioner,0.23732462453225753,50,0,0.5349999999999999,true,
c172,vector search vs vector database,vector search vs vector database,practitioner,0.23732462453225753,50,0,0.5349999999999999,true,
c184,semantic search vs lexical search,semantic search vs lexical search,practitioner,0.23732462453225753,50,0,0.5349999999999999,true,
c33,bloomreach vs hubspot,bloomreach vs hubspot,vendor,0.23714285714285727,0,0,0.56,true,
c115,nosto vs algolia,nosto vs algolia,vendor,0.2371428571428571,0,0,0.5599999999999999,true,
c121,luigi's box alternative,luigi's box alternative,vendor,0.2371428571428571,0,0,0.5599999999999999,true,
c144,best ai for product discovery,best ai for product discovery,buyer,0.22571428571428576,0,0,0.52,true,
c16,coveo montreal reviews,coveo montreal reviews,vendor,0.21142857142857152,0,0,0.54,true,
c178,atlas vector search pricing,mongodb vector search pricing|atlas vector search pricing,practitioner,0.20836931967231076,100,0,0.5,true,
c89,best book on opensearch,best book on opensearch,vendor,0.20499999999999993,0,0,0.5349999999999999,true,
c128,ecommerce vs e-commerce,ecommerce vs e-commerce,buyer,0.2,0,0,0.5,true,
c130,product discovery best practices,product discovery best practices,buyer,0.2,0,0,0.5,true,
c134,product discovery vs requirements gathering,product discovery vs requirements gathering,buyer,0.2,0,0,0.5,true,
c135,product discovery vs ux research,product discovery vs user research|product discovery vs ux research,buyer,0.2,0,0,0.5,true,
c140,product discovery pricing procedure,product discovery pricing procedure,buyer,0.2,0,0,0.5,true,
c142,best product discovery tools,best product discovery tools,buyer,0.2,0,0,0.5,true,
c146,find conversion cost,find conversion cost,buyer,0.2,0,0,0.5,true,
c148,search ap retail price,search ap retail price,buyer,0.2,0,0,0.5,true,
c183,semantic search best practices,semantic search best practices,practitioner,0.1964285714285714,0,0,0.575,true,
c153,legal relevance vs logical relevance,legal relevance vs logical relevance,practitioner,0.19232462453225763,50,0,0.5,true,
c158,improve my search ranking reviews,improve my search ranking reviews,practitioner,0.19232462453225763,50,0,0.5,true,
c159,best keyword ranking,best keyword ranking,practitioner,0.19232462453225763,50,0,0.5,true,
c180,firestore vector search pricing,firestore vector search pricing,practitioner,0.19232462453225763,50,0,0.5,true,
c194,search competitor analysis,search competitor analysis,practitioner,0.19232462453225763,50,0,0.5,true,
c195,search console vs analytics,search console vs analytics,practitioner,0.19232462453225763,50,0,0.5,true,
c166,vector search vs knowledge graph,vector search vs knowledge graph,practitioner,0.19000000000000009,0,0,0.5700000000000001,true,
c173,vector search vs grep,vector search vs grep,practitioner,0.19000000000000009,0,0,0.5700000000000001,true,
c181,best vector search algorithm,best vector search algorithm,practitioner,0.19000000000000009,0,0,0.5700000000000001,true,
c192,best llm for semantic search,best llm for semantic search,practitioner,0.19000000000000009,0,0,0.5700000000000001,true,
c108,attraqt share price,attraqt share price,vendor,0.16000000000000003,0,0,0.5,true,
c112,lucidworks share price,lucidworks share price,vendor,0.16000000000000003,0,0,0.5,true,
c118,nosto ovi vs taitto ovi,nosto ovi vs taitto ovi,vendor,0.16000000000000003,0,0,0.5,true,
c122,luigi pikachu box price,luigi pikachu box price,vendor,0.16000000000000003,0,0,0.5,true,
c152,relevance search vs dataverse search,relevance search vs dataverse search,practitioner,0.1,0,0,0.5,true,
c154,best match new relevance search for pubmed,best match new relevance search for pubmed,practitioner,0.1,0,0,0.5,true,
c160,best ai search engine ranking,best ai search engine ranking,practitioner,0.1,0,0,0.5,true,
c193,google search analytics comparison,google search analytics comparison,practitioner,0.1,0,0,0.5,true,
c196,best ai search analytics tools,best ai search analytics tools,practitioner,0.1,0,0,0.5,true,
c197,find best synonyms,find best synonyms,practitioner,0.1,0,0,0.5,true,
c198,search cost synonym,search cost synonym,practitioner,0.1,0,0,0.5,true,
